store_id,store_name,store_type,city,state,country
1000,ET Chennai Store 1,Retail,Chennai,Tamil Nadu,India
1001,ET Chennai Store 2,Retail,Chennai,Tamil Nadu,India
1002,ET Chennai Store 3,Retail,Chennai,Tamil Nadu,India
1003,ET Chennai Store 4,Retail,Chennai,Tamil Nadu,India
1004,ET Chennai Store 5,Retail,Chennai,Tamil Nadu,India
1005,ET Coimbatore Store 1,Retail,Coimbatore,Tamil Nadu,India
1006,ET Coimbatore Store 2,Retail,Coimbatore,Tamil Nadu,India
1007,ET Coimbatore Store 3,Retail,Coimbatore,Tamil Nadu,India
1008,ET Coimbatore Store 4,Retail,Coimbatore,Tamil Nadu,India
1009,ET Coimbatore Store 5,Retail,Coimbatore,Tamil Nadu,India
1010,ET Bengaluru Store 1,Retail,Bengaluru,Karnataka,India
1011,ET Bengaluru Store 2,Retail,Bengaluru,Karnataka,India
1012,ET Bengaluru Store 3,Retail,Bengaluru,Karnataka,India
1013,ET Bengaluru Store 4,Retail,Bengaluru,Karnataka,India
1014,ET Bengaluru Store 5,Retail,Bengaluru,Karnataka,India
1015,ET Mysuru Store 1,Retail,Mysuru,Karnataka,India
1016,ET Mysuru Store 2,Retail,Mysuru,Karnataka,India
1017,ET Mysuru Store 3,Retail,Mysuru,Karnataka,India
1018,ET Mysuru Store 4,Retail,Mysuru,Karnataka,India
1019,ET Mysuru Store 5,Retail,Mysuru,Karnataka,India
1020,ET Mumbai Store 1,Retail,Mumbai,Maharashtra,India
1021,ET Mumbai Store 2,Retail,Mumbai,Maharashtra,India
1022,ET Mumbai Store 3,Retail,Mumbai,Maharashtra,India
1023,ET Mumbai Store 4,Retail,Mumbai,Maharashtra,India
1024,ET Mumbai Store 5,Retail,Mumbai,Maharashtra,India
1025,ET Pune Store 1,Retail,Pune,Maharashtra,India
1026,ET Pune Store 2,Retail,Pune,Maharashtra,India
1027,ET Pune Store 3,Retail,Pune,Maharashtra,India
1028,ET Pune Store 4,Retail,Pune,Maharashtra,India
1029,ET Pune Store 5,Retail,Pune,Maharashtra,India
1030,ET New Delhi Store 1,Retail,New Delhi,Delhi,India
1031,ET New Delhi Store 2,Retail,New Delhi,Delhi,India
1032,ET New Delhi Store 3,Retail,New Delhi,Delhi,India
1033,ET New Delhi Store 4,Retail,New Delhi,Delhi,India
1034,ET New Delhi Store 5,Retail,New Delhi,Delhi,India
1035,ET Hyderabad Store 1,Retail,Hyderabad,Telangana,India
1036,ET Hyderabad Store 2,Retail,Hyderabad,Telangana,India
1037,ET Hyderabad Store 3,Retail,Hyderabad,Telangana,India
1038,ET Hyderabad Store 4,Retail,Hyderabad,Telangana,India
1039,ET Hyderabad Store 5,Retail,Hyderabad,Telangana,India
